tip	date	distance	residual
SouthAfrica_KRISP-0016_KZN-ETH_CH1-P5_H779958_2020-03-27	2020.235616438	4.637229999999998E-5	2.280746444467691E-5
SouthAfrica_KRISP-0007_KZN-ETH_CH1-HW5_781021_2020-03-31	2020.246575342	4.637229999999998E-5	1.0437641953034488E-5
SouthAfrica_KRISP-0011_KZN-ETH_CH1-HW11_781064_2020-03-31	2020.246575342	4.637229999999998E-5	1.0437641953034488E-5
SouthAfrica_KRISP-0017_KZN-ETH_CH1-P7_H781551_2020-04-02	2020.252054795	8.0138E-6	-3.410577042166148E-5
SouthAfrica_KRISP-0119_KZN-ETH_CH1-ND_17248861_2020-04-01	2020.249315068	8.0138E-6	-3.1013313670098145E-5
SouthAfrica_KRISP-0115_KZN-ETH_CH1-P15_16818548_2020-04-04	2020.257534247	7.0138E-6	-4.129068166748269E-5
SouthAfrica_KRISP-0021_KZN-ETH_CH1-X1_1583_2020-04-02	2020.252054795	3.845379999999999E-5	-3.665770421661491E-6
SouthAfrica_KRISP-0057_KZN-ETH_CH1-HW4_780343_2020-03-29	2020.24109589	5.013799999999999E-6	-2.4735946801144284E-5
SouthAfrica_KRISP-0041_KZN-ETH_CH1-R1_AA05212656_2020-03-25	2020.230136986	0.0	-1.737992430905777E-5
SouthAfrica_KRISP-0035_KZN-ETH_CH1-R1_AA05214061_2020-03-27	2020.235616438	2.0E-6	-2.156483555532307E-5
SouthAfrica_KRISP-0056_KZN-ETH_CH1-P14_782027_2020-04-04	2020.257534247	6.994999999999999E-5	2.1645518332517302E-5
SouthAfrica_KRISP-0067_KZN-ETH_CH1-P11_18821327_2020-04-03	2020.254794521	4.9999999999999996E-6	-4.021202604479413E-5
SouthAfrica_KRISP-0040_KZN-ETH_CH1-P10_AA05214058_2020-03-27	2020.235616438	5.999999999999999E-6	-1.756483555532307E-5
SouthAfrica_KRISP-0055_KZN-ETH_CH1-P3_778495_2020-03-22	2020.221917808	6.999999999999999E-6	-1.102557440103909E-6
SouthAfrica_KRISP-0116_KZN-ETH_CH1-HW35_17247155_2020-04-03	2020.254794521	4.537229999999998E-5	1.602739552058498E-7
SouthAfrica_KRISP-0074_KZN-ETH_CH1-HW46_17248777_2020-04-04	2020.257534247	5.0372299999999985E-5	2.067818332517295E-6
SouthAfrica_KRISP-0089_KZN-ETH_CH1-P23_17249263_2020-04-05	2020.260273973	5.0372299999999985E-5	-1.0246372906153557E-6
SouthAfrica_KRISP-0084_KZN-ETH_CH1-P20_17249771_2020-04-05	2020.260273973	4.937229999999998E-5	-2.0246372906153597E-6
SouthAfrica_KRISP-0091_KZN-ETH_CH1-P21_17249251_2020-04-05	2020.260273973	4.937229999999998E-5	-2.0246372906153597E-6
SouthAfrica_KRISP-0120_KZN-ETH_CH1-ND_17248881_2020-04-01	2020.249315068	8.148229999999996E-5	4.245518632990181E-5
SouthAfrica_KRISP-0113_KZN-ETH_CH1-P26_16818567_2020-04-05	2020.260273973	7.945229999999996E-5	2.8055362709384623E-5
SouthAfrica_KRISP-0075_KZN-ETH_CH1-HW53_17248910_2020-04-04	2020.257534247	4.637229999999998E-5	-1.9321816674827076E-6
SouthAfrica_KRISP-0121_KZN-ETH_CH1-ND_17249557_2020-04-01	2020.249315068	4.637229999999998E-5	7.345186329901837E-6
SouthAfrica_KRISP-0122_KZN-ETH_CH1-ND_16818871_2020-04-01	2020.249315068	4.637229999999998E-5	7.345186329901837E-6
SouthAfrica_KRISP-0065_KZN-ETH_CH1-HW49_17248785_2020-04-04	2020.257534247	4.537229999999998E-5	-2.9321816674827115E-6
SouthAfrica_KRISP-0097_KZN-ETH_CH1-ND_AMPATH93_2020-04-01	2020.249315068	4.3372299999999985E-5	4.345186329901839E-6
SouthAfrica_KRISP-0026_KZN-ETH_CH1-HW13_CA03191173_2020-04-01	2020.249315068	4.538609999999998E-5	6.358986329901836E-6
SouthAfrica_KRISP-0033_KZN-ETH_CH1-HW32_CA03192023_2020-04-02	2020.252054795	4.538609999999998E-5	3.2665295783385035E-6
SouthAfrica_KRISP-0088_KZN-ETH_CH1-P22_17249261_2020-04-07	2020.265753425	4.3372299999999985E-5	-1.4209548536436568E-5
SouthAfrica_KRISP-0066_KZN-ETH_CH1-P13_17249951_2020-04-03	2020.254794521	4.137229999999998E-5	-3.839726044794146E-6
SouthAfrica_KRISP-0080_KZN-ETH_CH1-ND_17249451_2020-04-01	2020.249315068	4.137229999999998E-5	2.3451863299018375E-6
SouthAfrica_KRISP-0081_KZN-ETH_CH1-P29_17249295_2020-04-06	2020.263013699	4.237229999999998E-5	-1.2117092913748011E-5
SouthAfrica_KRISP-0111_KZN-ETH_CH1-HW23_16818558_2020-04-01	2020.249315068	1.433737E-4	1.0434658632990185E-4
SouthAfrica_KRISP-0118_KZN-ETH_CH1-ND_17248900_2020-04-01	2020.249315068	4.437229999999998E-5	5.345186329901836E-6
SouthAfrica_KRISP-0112_KZN-ETH_CH1-P27_17249269_2020-04-05	2020.260273973	4.537229999999998E-5	-6.024637290615362E-6
