,Sample1,Sample2,L1norm,comp,n_sites
0,K002187_S21.lf_filt,K002188_S22.lf_filt,31.388168,0,1421
1,K002187_S21.lf_filt,K002189_S23.lf_filt,18.109392,1,1421
2,K002187_S21.lf_filt,K002190_S24.lf_filt,18.203908,2,1421
3,K002187_S21.lf_filt,K002191_S25.lf_filt,26.223965999999997,3,1421
4,K002187_S21.lf_filt,K002192_S26.lf_filt,33.458904,4,1421
5,K002187_S21.lf_filt,K002194_S28.lf_filt,26.109392,5,1421
6,K002187_S21.lf_filt,K002195_S29.lf_filt,24.109392,6,1421
7,K002187_S21.lf_filt,K002196_S30.lf_filt,8.36328,7,1421
8,K002187_S21.lf_filt,K002197_S31.lf_filt,26.239966,8,1421
9,K002187_S21.lf_filt,K002198_S32.lf_filt,26.543202,9,1421
10,K002187_S21.lf_filt,K002199_S33.lf_filt,22.109392,10,1421
11,K002187_S21.lf_filt,K002200_S34.lf_filt,29.227526,11,1421
12,K002187_S21.lf_filt,K002202_S36.lf_filt,24.22352,12,1421
13,K002187_S21.lf_filt,K002203_S37.lf_filt,25.691408,13,1421
14,K002187_S21.lf_filt,K002204_S38.lf_filt,8.840328,14,1421
15,K002187_S21.lf_filt,K002205_S39.lf_filt,33.963762,15,1421
16,K002187_S21.lf_filt,K002206_S40.lf_filt,10.88965,16,1421
17,K002187_S21.lf_filt,K002208_S41.lf_filt,29.990142000000002,17,1421
18,K002187_S21.lf_filt,K002209_S42.lf_filt,33.913129999999995,18,1421
19,K002187_S21.lf_filt,K002210_S43.lf_filt,20.109392,19,1421
20,K002187_S21.lf_filt,K002211_S44.lf_filt,28.516620000000003,20,1421
21,K002187_S21.lf_filt,K002454_S10.lf_filt,14.109392,21,1421
22,K002187_S21.lf_filt,K002455_S11.lf_filt,8.267759999999999,22,1421
23,K002187_S21.lf_filt,K002456_S12.lf_filt,8.295864,23,1421
24,K002187_S21.lf_filt,K002457_S13.lf_filt,8.391624,24,1421
25,K002187_S21.lf_filt,K002460_S16.lf_filt,25.443756,25,1421
26,K002187_S21.lf_filt,K002461_S17.lf_filt,24.55667,26,1421
27,K002187_S21.lf_filt,K002463_S19.lf_filt,26.109392,27,1421
28,K002187_S21.lf_filt,K002464_S20.lf_filt,11.501602,28,1421
29,K002187_S21.lf_filt,K002465_S21.lf_filt,14.180246000000002,29,1421
30,K002187_S21.lf_filt,K002466_S22.lf_filt,16.20447,30,1421
31,K002187_S21.lf_filt,K002467_S23.lf_filt,19.756704,31,1421
32,K002187_S21.lf_filt,K002472_S28.lf_filt,30.109392,32,1421
33,K002187_S21.lf_filt,K002474_S30.lf_filt,12.015144,33,1421
34,K002187_S21.lf_filt,KPCOVID-0007_S5.lf_filt,25.243848,34,1421
35,K002187_S21.lf_filt,KPCOVID-0011_S9.lf_filt,20.875654000000004,35,1421
36,K002187_S21.lf_filt,KPCOVID-0016_S4.lf_filt,27.83439,36,1421
37,K002187_S21.lf_filt,KPCOVID-0017_S5.lf_filt,20.214664,37,1421
38,K002187_S21.lf_filt,KPCOVID-0021REP_S7.lf_filt,52.753094000000004,38,1421
39,K002187_S21.lf_filt,KPCOVID-0026_S4.lf_filt,28.632578,39,1421
40,K002187_S21.lf_filt,KPCOVID-0033_S11.lf_filt,29.545612,40,1421
41,K002187_S21.lf_filt,KPCOVID-0035_S1.lf_filt,28.663710000000002,41,1421
